;Scopy version,dda5ec6
;Exported on,dinsdag januari 25/01/2022
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+08
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
341,-3.659e-05,2.55686,2.44484
342,-3.658e-05,2.55686,2.48841
343,-3.657e-05,2.54233,2.45936
344,-3.656e-05,2.57138,2.47389
345,-3.655e-05,2.54233,2.45936
346,-3.654e-05,2.52781,2.47389
347,-3.653e-05,2.55686,2.45936
348,-3.652e-05,2.52781,2.45936
349,-3.651e-05,2.55686,2.45936
350,-3.65e-05,2.52781,2.48841
351,-3.649e-05,2.55686,2.47389
352,-3.648e-05,2.54233,2.48841
353,-3.647e-05,2.55686,2.48841
354,-3.646e-05,2.55686,2.47389
355,-3.645e-05,2.55686,2.47389
356,-3.644e-05,2.52781,2.48841
357,-3.643e-05,2.54233,2.48841
358,-3.642e-05,2.52781,2.48841
359,-3.641e-05,2.54233,2.47389
360,-3.64e-05,2.54233,2.47389
361,-3.639e-05,2.55686,2.47389
362,-3.638e-05,2.54233,2.48841
363,-3.637e-05,2.54233,2.45936
364,-3.636e-05,2.55686,2.48841
365,-3.635e-05,2.54233,2.45936
366,-3.634e-05,2.54233,2.48841
367,-3.633e-05,2.55686,2.48841
368,-3.632e-05,2.54233,2.50294
369,-3.631e-05,2.52781,2.48841
370,-3.63e-05,2.55686,2.44484
371,-3.629e-05,2.52781,2.48841
372,-3.628e-05,2.52781,2.48841
373,-3.627e-05,2.55686,2.47389
374,-3.626e-05,2.52781,2.48841
375,-3.625e-05,2.54233,2.48841
376,-3.624e-05,2.55686,2.47389
377,-3.623e-05,2.54233,2.48841
378,-3.622e-05,2.54233,2.50294
379,-3.621e-05,2.52781,2.47389
380,-3.62e-05,2.54233,2.50294
381,-3.619e-05,2.54233,2.45936
382,-3.618e-05,2.54233,2.47389
383,-3.617e-05,2.54233,2.47389
384,-3.616e-05,2.55686,2.50294
385,-3.615e-05,2.52781,2.50294
386,-3.614e-05,2.55686,2.48841
387,-3.613e-05,2.55686,2.47389
388,-3.612e-05,2.57138,2.50294
389,-3.611e-05,2.57138,2.48841
390,-3.61e-05,2.55686,2.47389
391,-3.609e-05,2.54233,2.50294
392,-3.608e-05,2.52781,2.48841
393,-3.607e-05,2.55686,2.48841
394,-3.606e-05,2.57138,2.50294
395,-3.605e-05,2.55686,2.48841
396,-3.604e-05,2.55686,2.48841
397,-3.603e-05,2.54233,2.47389
398,-3.602e-05,2.55686,2.48841
399,-3.601e-05,2.55686,2.47389
400,-3.6e-05,2.55686,2.48841
401,-3.599e-05,2.55686,2.50294
402,-3.598e-05,2.54233,2.50294
403,-3.597e-05,2.55686,2.50294
404,-3.596e-05,2.54233,2.48841
405,-3.595e-05,2.51328,2.47389
406,-3.594e-05,2.54233,2.48841
407,-3.593e-05,2.54233,2.48841
408,-3.592e-05,2.55686,2.50294
409,-3.591e-05,2.54233,2.47389
410,-3.59e-05,2.55686,2.48841
411,-3.589e-05,2.57138,2.48841
412,-3.588e-05,2.55686,2.48841
413,-3.587e-05,2.55686,2.47389
414,-3.586e-05,2.54233,2.50294
415,-3.585e-05,2.52781,2.50294
416,-3.584e-05,2.54233,2.48841
417,-3.583e-05,2.52781,2.50294
418,-3.582e-05,2.55686,2.50294
419,-3.581e-05,2.55686,2.50294
420,-3.58e-05,2.58591,2.50294
421,-3.579e-05,2.54233,2.48841
422,-3.578e-05,2.55686,2.47389
423,-3.577e-05,2.52781,2.44484
424,-3.576e-05,2.54233,2.48841
425,-3.575e-05,2.52781,2.50294
426,-3.574e-05,2.54233,2.47389
427,-3.573e-05,2.55686,2.48841
428,-3.572e-05,2.55686,2.50294
429,-3.571e-05,2.54233,2.47389
430,-3.57e-05,2.54233,2.47389
431,-3.569e-05,2.52781,2.45936
432,-3.568e-05,2.54233,2.47389
433,-3.567e-05,2.55686,2.48841
434,-3.566e-05,2.57138,2.48841
435,-3.565e-05,2.54233,2.48841
436,-3.564e-05,2.54233,2.50294
437,-3.563e-05,2.54233,2.48841
438,-3.562e-05,2.54233,2.48841
439,-3.561e-05,2.57138,2.45936
440,-3.56e-05,2.54233,2.50294
441,-3.559e-05,2.55686,2.45936
442,-3.558e-05,2.54233,2.48841
