in s,C2 in V
-2.98565E-01,3.34921E+00
-2.98560E-01,3.34921E+00
-2.98554E-01,3.34952E+00
-2.98549E-01,3.34799E+00
-2.98544E-01,3.34860E+00
-2.98539E-01,3.34860E+00
-2.98534E-01,3.34860E+00
-2.98529E-01,3.34830E+00
-2.98524E-01,3.34967E+00
-2.98519E-01,3.34967E+00
-2.98514E-01,3.34891E+00
-2.98509E-01,3.34891E+00
-2.98504E-01,3.34799E+00
-2.98499E-01,3.34952E+00
-2.98494E-01,3.34921E+00
-2.98489E-01,3.34906E+00
-2.98484E-01,3.34998E+00
-2.98479E-01,3.35104E+00
-2.98474E-01,3.35227E+00
-2.98469E-01,3.35120E+00
-2.98464E-01,3.34967E+00
-2.98459E-01,3.35120E+00
-2.98454E-01,3.35227E+00
-2.98449E-01,3.35379E+00
-2.98444E-01,3.35425E+00
-2.98439E-01,3.35349E+00
-2.98434E-01,3.35288E+00
-2.98428E-01,3.35181E+00
-2.98423E-01,3.35120E+00
-2.98418E-01,3.35059E+00
-2.98413E-01,3.35104E+00
-2.98408E-01,3.34952E+00
-2.98403E-01,3.34952E+00
-2.98398E-01,3.35013E+00
-2.98393E-01,3.34952E+00
-2.98388E-01,3.34845E+00
-2.98383E-01,3.34845E+00
-2.98378E-01,3.34769E+00
-2.98373E-01,3.34769E+00
-2.98368E-01,3.34677E+00
-2.98363E-01,3.34662E+00
-2.98358E-01,3.34631E+00
-2.98353E-01,3.34692E+00
-2.98348E-01,3.34662E+00
-2.98343E-01,3.34555E+00
-2.98338E-01,3.34540E+00
-2.98333E-01,3.34647E+00
-2.98328E-01,3.34677E+00
-2.98323E-01,3.34708E+00
-2.98318E-01,3.34799E+00
-2.98313E-01,3.34784E+00
-2.98308E-01,3.34708E+00
-2.98302E-01,3.34677E+00
-2.98297E-01,3.34692E+00
-2.98292E-01,3.34738E+00
-2.98287E-01,3.34753E+00
-2.98282E-01,3.34876E+00
-2.98277E-01,3.34937E+00
-2.98272E-01,3.34982E+00
-2.98267E-01,3.34982E+00
-2.98262E-01,3.35074E+00
-2.98257E-01,3.34967E+00
-2.98252E-01,3.35013E+00
-2.98247E-01,3.35074E+00
