in s,C1 in V
-1.0428E-01,-2.043E+01
-1.0426E-01,-2.112E+01
-1.0426E-01,-2.043E+01
-1.0424E-01,-2.112E+01
-1.0424E-01,-2.043E+01
-1.0422E-01,-2.107E+01
-1.0422E-01,-2.043E+01
-1.0420E-01,-2.112E+01
-1.0420E-01,-2.043E+01
-1.0418E-01,-2.112E+01
-1.0418E-01,-2.043E+01
-1.0416E-01,-2.107E+01
-1.0416E-01,-2.043E+01
-1.0413E-01,-2.107E+01
-1.0413E-01,-2.043E+01
-1.0411E-01,-2.107E+01
-1.0411E-01,-2.043E+01
-1.0409E-01,-2.107E+01
-1.0409E-01,-2.043E+01
-1.0407E-01,-2.107E+01
-1.0407E-01,-2.043E+01
-1.0405E-01,-2.107E+01
-1.0405E-01,-2.043E+01
-1.0403E-01,-2.107E+01
-1.0403E-01,-2.043E+01
-1.0400E-01,-2.107E+01
-1.0400E-01,-2.043E+01
-1.0398E-01,-2.107E+01
-1.0398E-01,-2.043E+01
-1.0396E-01,-2.107E+01
-1.0396E-01,-2.043E+01
-1.0394E-01,-2.107E+01
-1.0394E-01,-2.043E+01
-1.0392E-01,-2.107E+01
-1.0392E-01,-2.039E+01
-1.0390E-01,-2.107E+01
-1.0390E-01,-2.039E+01
-1.0387E-01,-2.107E+01
-1.0387E-01,-2.043E+01
-1.0385E-01,-2.107E+01
-1.0385E-01,-2.043E+01
-1.0383E-01,-2.107E+01
-1.0383E-01,-2.043E+01
-1.0381E-01,-2.107E+01
-1.0381E-01,-2.039E+01
-1.0379E-01,-2.107E+01
-1.0379E-01,-2.039E+01
-1.0377E-01,-2.107E+01
-1.0377E-01,-2.039E+01
-1.0374E-01,-2.102E+01
-1.0374E-01,-2.034E+01
-1.0372E-01,-2.102E+01
-1.0372E-01,-2.034E+01
-1.0370E-01,-2.107E+01
-1.0370E-01,-2.039E+01
-1.0368E-01,-2.107E+01
-1.0368E-01,-2.034E+01
-1.0366E-01,-2.102E+01
-1.0366E-01,-2.034E+01
-1.0364E-01,-2.102E+01
-1.0364E-01,-2.034E+01
-1.0362E-01,-2.097E+01
-1.0362E-01,-2.029E+01
-1.0359E-01,-2.092E+01
-1.0359E-01,-2.029E+01
-1.0357E-01,-2.092E+01
-1.0357E-01,-2.024E+01
-1.0355E-01,-2.092E+01
-1.0355E-01,-2.024E+01
-1.0353E-01,-2.087E+01
-1.0353E-01,-2.014E+01
-1.0351E-01,-2.083E+01
-1.0351E-01,-2.014E+01
-1.0349E-01,-2.078E+01
-1.0349E-01,-2.009E+01
-1.0346E-01,-2.078E+01
-1.0346E-01,-2.000E+01
-1.0344E-01,-2.063E+01
-1.0344E-01,-1.995E+01
-1.0342E-01,-2.058E+01
-1.0342E-01,-1.990E+01
-1.0340E-01,-2.058E+01
-1.0340E-01,-1.975E+01
-1.0338E-01,-2.048E+01
-1.0338E-01,-1.960E+01
-1.0336E-01,-2.034E+01
-1.0336E-01,-1.956E+01
-1.0333E-01,-2.024E+01
-1.0333E-01,-1.941E+01
-1.0331E-01,-2.009E+01
-1.0331E-01,-1.931E+01
-1.0329E-01,-2.000E+01
-1.0329E-01,-1.917E+01
-1.0327E-01,-1.985E+01
-1.0327E-01,-1.902E+01
-1.0325E-01,-1.970E+01
-1.0325E-01,-1.887E+01
-1.0323E-01,-1.956E+01
-1.0323E-01,-1.873E+01
-1.0320E-01,-1.946E+01
-1.0320E-01,-1.863E+01
-1.0318E-01,-1.931E+01
-1.0318E-01,-1.848E+01
-1.0316E-01,-1.912E+01
-1.0316E-01,-1.833E+01
-1.0314E-01,-1.902E+01
-1.0314E-01,-1.814E+01
-1.0312E-01,-1.887E+01
-1.0312E-01,-1.799E+01
-1.0310E-01,-1.873E+01
-1.0310E-01,-1.790E+01
-1.0308E-01,-1.863E+01
-1.0308E-01,-1.775E+01
-1.0305E-01,-1.843E+01
-1.0305E-01,-1.765E+01
-1.0303E-01,-1.838E+01
-1.0303E-01,-1.755E+01
-1.0301E-01,-1.824E+01
-1.0301E-01,-1.746E+01
-1.0299E-01,-1.819E+01
-1.0299E-01,-1.736E+01
-1.0297E-01,-1.804E+01
-1.0297E-01,-1.726E+01
-1.0295E-01,-1.799E+01
-1.0295E-01,-1.721E+01
-1.0292E-01,-1.785E+01
-1.0292E-01,-1.711E+01
-1.0290E-01,-1.785E+01
-1.0290E-01,-1.702E+01
-1.0288E-01,-1.780E+01
-1.0288E-01,-1.697E+01
-1.0286E-01,-1.765E+01
-1.0286E-01,-1.687E+01
-1.0284E-01,-1.755E+01
-1.0284E-01,-1.677E+01
-1.0282E-01,-1.750E+01
-1.0282E-01,-1.667E+01
-1.0279E-01,-1.741E+01
-1.0279E-01,-1.663E+01
-1.0277E-01,-1.731E+01
-1.0277E-01,-1.653E+01
-1.0275E-01,-1.726E+01
-1.0275E-01,-1.648E+01
-1.0273E-01,-1.716E+01
-1.0273E-01,-1.638E+01
-1.0271E-01,-1.707E+01
-1.0271E-01,-1.628E+01
-1.0269E-01,-1.697E+01
-1.0269E-01,-1.619E+01
-1.0266E-01,-1.692E+01
-1.0266E-01,-1.599E+01
-1.0264E-01,-1.677E+01
-1.0264E-01,-1.599E+01
-1.0262E-01,-1.672E+01
-1.0262E-01,-1.594E+01
-1.0260E-01,-1.658E+01
-1.0260E-01,-1.580E+01
-1.0258E-01,-1.653E+01
-1.0258E-01,-1.570E+01
-1.0256E-01,-1.643E+01
-1.0256E-01,-1.570E+01
-1.0254E-01,-1.643E+01
-1.0254E-01,-1.560E+01
-1.0251E-01,-1.628E+01
-1.0251E-01,-1.560E+01
-1.0249E-01,-1.624E+01
-1.0249E-01,-1.545E+01
-1.0247E-01,-1.619E+01
-1.0247E-01,-1.541E+01
-1.0245E-01,-1.604E+01
-1.0245E-01,-1.531E+01
-1.0243E-01,-1.599E+01
-1.0243E-01,-1.521E+01
-1.0241E-01,-1.589E+01
-1.0241E-01,-1.511E+01
-1.0238E-01,-1.575E+01
-1.0238E-01,-1.497E+01
-1.0236E-01,-1.570E+01
-1.0236E-01,-1.492E+01
-1.0234E-01,-1.565E+01
-1.0234E-01,-1.487E+01
-1.0232E-01,-1.550E+01
-1.0232E-01,-1.477E+01
-1.0230E-01,-1.541E+01
-1.0230E-01,-1.467E+01
-1.0228E-01,-1.536E+01
-1.0228E-01,-1.458E+01
-1.0225E-01,-1.531E+01
-1.0225E-01,-1.453E+01
